data,solver,voh,nodes,backtrack,runtime
./data/d-10-01.txt,BT,1,599394,158072,2.5978
./data/d-10-01.txt,BT,2,543820,138702,4.60792
./data/d-10-01.txt,BT,3,749843,194024,5.01375
./data/d-10-01.txt,BT,4,4159,1160,0.042297
./data/d-10-01.txt,BT,5,102831181,14690168,1191.46
./data/d-10-01.txt,FC,1,659,52,0.003798
./data/d-10-01.txt,FC,2,12530,2679,0.141994
./data/d-10-01.txt,FC,3,578,36,0.004028
./data/d-10-01.txt,FC,4,1070,191,0.013995
./data/d-10-01.txt,FC,5,391277,100087,2.14648
./data/d-10-06.txt,BT,1,4808,1241,0.023146
./data/d-10-06.txt,BT,2,37371,10267,0.382735
./data/d-10-06.txt,BT,3,14459,3175,0.117616
./data/d-10-06.txt,BT,4,7887,2447,0.089101
./data/d-10-06.txt,BT,5,83462735,9273637,1036.96
./data/d-10-06.txt,FC,1,57,0,0.000273
./data/d-10-06.txt,FC,2,6302,1357,0.078692
./data/d-10-06.txt,FC,3,101,4,0.000681
./data/d-10-06.txt,FC,4,2164,429,0.030431
./data/d-10-06.txt,FC,5,16832,4141,0.087441
./data/d-10-07.txt,BT,1,8610,2487,0.036834
./data/d-10-07.txt,BT,2,132435,39675,1.52887
./data/d-10-07.txt,BT,3,27975,8932,0.274266
./data/d-10-07.txt,BT,4,918,267,0.010517
./data/d-10-07.txt,BT,5,270411912,79831717,766.569
./data/d-10-07.txt,FC,1,114,4,0.00056
./data/d-10-07.txt,FC,2,5533,1496,0.070484
./data/d-10-07.txt,FC,3,64,2,0.000412
./data/d-10-07.txt,FC,4,1133,220,0.016345
./data/d-10-07.txt,FC,5,1012,199,0.004576
./data/d-10-08.txt,BT,1,245050,59624,1.17165
./data/d-10-08.txt,BT,2,13208739,4591010,119.692
./data/d-10-08.txt,BT,3,11466299,3072735,87.0493
./data/d-10-08.txt,BT,4,331,92,0.003976
./data/d-10-08.txt,BT,5,64503159,19292055,193.189
./data/d-10-08.txt,FC,1,98,3,0.000464
./data/d-10-08.txt,FC,2,37991,9205,0.458834
./data/d-10-08.txt,FC,3,178,15,0.001147
./data/d-10-08.txt,FC,4,268,47,0.003712
./data/d-10-08.txt,FC,5,203193,33865,1.05378
./data/d-10-09.txt,BT,1,120896,30735,0.621182
./data/d-10-09.txt,BT,2,230219,59539,1.96096
./data/d-10-09.txt,BT,3,49035362,13929474,326.368
./data/d-10-09.txt,BT,4,1426,557,0.014787
./data/d-10-09.txt,BT,5,-1,-1,-1
./data/d-10-09.txt,FC,1,66,9,0.000478
./data/d-10-09.txt,FC,2,2150,167,0.013378
./data/d-10-09.txt,FC,3,69,12,0.000796
./data/d-10-09.txt,FC,4,129,72,0.001065
./data/d-10-09.txt,FC,5,1311023,120457,7.00771
./data/d-15-01.txt,BT,1,-1,-1,-1
./data/d-15-01.txt,BT,2,-1,-1,-1
./data/d-15-01.txt,BT,3,-1,-1,-1
./data/d-15-01.txt,BT,4,-1,-1,-1
./data/d-15-01.txt,BT,5,-1,-1,-1
./data/d-15-01.txt,FC,1,344858,24556,1.96675
./data/d-15-01.txt,FC,2,-1,-1,-1
./data/d-15-01.txt,FC,3,381868,34567,2.70825
./data/d-15-01.txt,FC,4,-1,-1,-1
./data/d-15-01.txt,FC,5,-1,-1,-1
