data,solver,voh,nodes,backtrack,runtime
"./data/d-10-01.txt",BT,1,599394,599337,9.9888
"./data/d-10-01.txt",BT,2,543820,543763,9.25498
"./data/d-10-01.txt",BT,3,749843,749786,12.6223
"./data/d-10-01.txt",BT,4,4159,4102,0.077854
"./data/d-10-01.txt",BT,5,17006715,17006658,324.753
"./data/d-10-01.txt",FC,1,711,654,0.003783
"./data/d-10-01.txt",FC,2,17237,17180,0.160728
"./data/d-10-01.txt",FC,3,650,593,0.00449
"./data/d-10-01.txt",FC,4,6286,6229,0.062618
"./data/d-10-01.txt",FC,5,420679,420622,3.91294
"./data/d-10-06.txt",BT,1,4808,4751,0.060716
"./data/d-10-06.txt",BT,2,37371,37314,0.847067
"./data/d-10-06.txt",BT,3,14459,14402,0.300865
"./data/d-10-06.txt",BT,4,7887,7830,0.168826
"./data/d-10-06.txt",BT,5,-1,-1,-1
"./data/d-10-06.txt",FC,1,57,0,0.000395
"./data/d-10-06.txt",FC,2,9101,9044,0.085973
"./data/d-10-06.txt",FC,3,105,48,0.000772
"./data/d-10-06.txt",FC,4,576,519,0.005794
"./data/d-10-06.txt",FC,5,1769431,1769374,16.3456
"./data/d-10-07.txt",BT,1,8610,8553,0.146467
"./data/d-10-07.txt",BT,2,132435,132378,2.40366
"./data/d-10-07.txt",BT,3,27975,27918,0.42964
"./data/d-10-07.txt",BT,4,918,861,0.020454
"./data/d-10-07.txt",BT,5,15221705,15221648,278.492
"./data/d-10-07.txt",FC,1,105,48,0.000629
"./data/d-10-07.txt",FC,2,8675,8618,0.086069
"./data/d-10-07.txt",FC,3,66,9,0.00057
"./data/d-10-07.txt",FC,4,1744,1687,0.018264
"./data/d-10-07.txt",FC,5,100262,100205,0.992739
"./data/d-10-08.txt",BT,1,245050,244993,3.282
"./data/d-10-08.txt",BT,2,13208739,13208682,304.074
"./data/d-10-08.txt",BT,3,11466299,11466242,221.255
"./data/d-10-08.txt",BT,4,331,274,0.00708
"./data/d-10-08.txt",BT,5,26955734,26955677,543.079
"./data/d-10-08.txt",FC,1,101,44,0.00061
"./data/d-10-08.txt",FC,2,61621,61564,0.578994
"./data/d-10-08.txt",FC,3,221,164,0.001499
"./data/d-10-08.txt",FC,4,173,116,0.002008
"./data/d-10-08.txt",FC,5,7441811,7441754,72.8781
"./data/d-10-09.txt",BT,1,120896,120839,2.5142
"./data/d-10-09.txt",BT,2,230219,230162,4.58657
"./data/d-10-09.txt",BT,3,-1,-1,-1
"./data/d-10-09.txt",BT,4,1426,1369,0.042423
"./data/d-10-09.txt",BT,5,-1,-1,-1
"./data/d-10-09.txt",FC,1,66,9,0.000429
"./data/d-10-09.txt",FC,2,2150,2093,0.018839
"./data/d-10-09.txt",FC,3,69,12,0.00054
"./data/d-10-09.txt",FC,4,129,72,0.00151
"./data/d-10-09.txt",FC,5,-1,-1,-1
"./data/d-15-01.txt",BT,1,-1,-1,-1
"./data/d-15-01.txt",BT,2,-1,-1,-1
"./data/d-15-01.txt",BT,3,-1,-1,-1
"./data/d-15-01.txt",BT,4,-1,-1,-1
"./data/d-15-01.txt",BT,5,-1,-1,-1
"./data/d-15-01.txt",FC,1,344858,344752,2.70391
"./data/d-15-01.txt",FC,2,-1,-1,-1
"./data/d-15-01.txt",FC,3,381868,381762,3.80306
"./data/d-15-01.txt",FC,4,-1,-1,-1
"./data/d-15-01.txt",FC,5,-1,-1,-1
