data,pen,con-heu,timeslots,penalty-constructive,penalty-kempe,penalty-pairswap
car-f-92,0,0,31,6.73782,3.71996,3.61681
car-s-91,0,0,33,7.43117,4.71464,4.61054
kfu-s-93,0,0,19,28.5556,12.9822,12.1032
tre-s-92,0,0,21,10.1201,7.17836,7.09353
yor-f-83,0,0,22,41.3773,25.0244,24.9097
car-f-92,0,1,33,6.76758,3.45057,3.31397
car-s-91,0,1,35,8.84438,4.45941,4.32565
kfu-s-93,0,1,20,34.2987,11.73,11.2204
tre-s-92,0,1,21,10.7368,6.98349,6.68226
yor-f-83,0,1,22,40.6504,24.6929,24.5972
car-f-92,0,2,30,6.70568,3.89945,3.78403
car-s-91,0,2,32,7.48541,4.92107,4.76663
kfu-s-93,0,2,18,26.9998,13.6007,12.9964
tre-s-92,0,2,23,9.77579,6.2884,6.14168
yor-f-83,0,2,21,37.6939,27.3943,27.1732
car-f-92,0,3,43,5.23785,2.50394,2.38656
car-s-91,0,3,47,6.26173,3.26917,3.07858
kfu-s-93,0,3,24,20.1948,8.69845,8.04449
tre-s-92,0,3,28,8.28702,5.1105,4.88675
yor-f-83,0,3,26,30.576,20.44,20.1084
car-f-92,1,0,31,10.3159,5.53895,5.40018
car-s-91,1,0,33,11.3374,6.98488,6.83576
kfu-s-93,1,0,19,45.4664,18.734,16.845
tre-s-92,1,0,21,15.4663,10.6369,10.4333
yor-f-83,1,0,22,64.0319,35.8619,35.7322
car-f-92,1,1,33,10.4684,5.10429,4.87269
car-s-91,1,1,35,13.4464,6.91421,6.77183
kfu-s-93,1,1,20,53.9062,17.634,15.2279
tre-s-92,1,1,21,16.381,10.1641,9.91197
yor-f-83,1,1,22,62.3634,35.4495,35.0436
car-f-92,1,2,30,10.2217,5.71041,5.50638
car-s-91,1,2,32,11.4264,7.41333,7.26527
kfu-s-93,1,2,18,41.7727,19.2335,18.0718
tre-s-92,1,2,23,14.8148,10.0225,9.71068
yor-f-83,1,2,21,57.543,40.2168,39.8215
car-f-92,1,3,43,7.9001,3.7268,3.45144
car-s-91,1,3,47,9.51672,4.68782,4.45906
kfu-s-93,1,3,24,32.4416,14.1712,12.7291
tre-s-92,1,3,28,12.7121,7.3017,6.86612
yor-f-83,1,3,26,46.3188,30.3974,29.4495
